# --- Technology / Cloud ---
icloud.com	icloud
microsoft.com	microsoft
adobe.com	adobe
zoom.com	zoom
docusign.com	docusign
dropbox.com	dropbox
opensea.com	opensea

# --- Financial / Banking / Payments ---
paypal.com	paypal
discover.com	discover
americanexpress.com	american.?express
bankofamerica.com	bank.?of.?america
capitalone.com	capital.?one
chase.com	chase
wellsfargo.com	wells.?fargo
citi.com	citi
pnc.com	pnc
usbank.com	us.?bank
53.com	fifth.?third
venmo.com	venmo
skrill.com	skrill
payoneer.com	payoneer
stripe.com	stripe
cash.app	cash.?app
coinbase.com	coinbase
binance.com	binance
metamask.io	metamask
kraken.com	kraken

# --- Streaming / Entertainment ---
disney.com	disney
netflix.com	netflix
hulu.com	hulu
peacocktv.com	peacock
max.com	max
steampowered.com	steam
playstation.com	playstation
xbox.com	xbox
epicgames.com	epic.?games

# --- Retail (General) ---
walmart.com	walmart
samsclub.com	sam.?s.?club
costco.com	costco
kohls.com	khol.?s
meijer.com	meijer
macys.com	macys
yeti.com	yeti
harborfreight.com	harbor.?freight

# --- Retail (Pharmacy / Grocery) ---
cvs.com	cvs
walgreens.com	walgreens
wholefoodsmarket.com	whole.?foods

# --- Retail (Home Improvement) ---
lowes.com	lowe.?s
acehardware.com	ace.?hardware
homedepot.com	home.?depot
andersenwindows.com	andersen

# --- Telecommunications / ISP ---
t-mobile.com	t.?mobile
verizon.com	verizon
att.com	att
xfinity.com	comcast

# --- Shipping / Logistics ---
fedex.com	fedex
ups.com	ups
usps.com	usps
dhl.com	dhl

# --- Hospitality ---
marriott.com	marriott
hilton.com	hilton
hyatt.com	hyatt
ihg.com	ihg
riu.com	riu
wyndham.com	wyndham
choicehotels.com	choice.?hotels
bestwestern.com	best.?western

# --- Insurance / Security / Warranty ---
carshield.com	carshield
mcafee.com	mcafee
norton.com	norton
adt.com	adt
aaa.com	aaa

# --- Coffee ---
starbucks.com	star.?bucks

# --- Job Search ---
indeed.com	indeed
ziprecruiter.com	zip.?recruiter
monster.com	monster

# --- Social Media ---
facebook.com	face.?book
instagram.com	instagram
linkedin.com	linked.?in
twitter.com	twitter
tiktok.com	tik.?tok

# --- Government (Use with caution - potential for false positives) ---
irs.gov	irs|internal revenue
ssa.gov	social.?security
medicare.gov	medicare

# --- Airlines ---
aa.com	americn.?airlines
united.com	united.?airlines
delta.com	delta.?air

# --- News Outlets ---
cnn.com	cnn
abcnews.go.com	abc.?news
msnbc.com	msnbc
foxnews.com	fox.?news
bbc.com	bbc
nytimes.com	new.?york.?times
wsj.com	wall.?street.?journal

# --- Other ---
trugreen.com	trugreen
